"num_collisions","year","weekday","max_temp","max_wind","fog","snow"
531,2012,"3",39.2,19,1,0
525,2012,"4",52,34,1,0
557,2012,"5",41,22,0,0
442,2012,"6",44.6,21,1,0
411,2012,"7",44.6,39,0,0
482,2012,"1",37.4,22.9,0,0
381,2013,"2",39.9,8.9,0,0
480,2013,"3",33.1,9.9,0,0
549,2013,"4",32,8,0,0
505,2013,"5",37,13,0,0
389,2013,"6",42.1,12,0,0
393,2013,"7",46,8.9,0,0
521,2013,"1",45,11.1,0,0
513,2013,"2",48,8.9,0,0
487,2013,"3",48.9,9.9,0,0
555,2013,"4",48,11.1,0,0
660,2013,"5",44.1,7,0,0
475,2013,"6",46.9,7,0,0
373,2013,"7",48.9,8,1,0
542,2013,"1",72,8.9,1,0
516,2013,"2",50,11.1,0,0
578,2013,"3",37.9,12,0,0
491,2013,"4",43,8,0,0
561,2013,"5",39.9,9.9,0,0
484,2013,"6",51.1,13,0,0
393,2013,"7",53.1,15.9,0,0
355,2013,"1",39.9,11.1,0,0
544,2013,"2",30.9,14,0,0
545,2013,"3",19.9,11.1,0,0
554,2013,"4",21.9,15,0,0
674,2013,"5",24.1,11.1,0,0
558,2013,"6",26.1,9.9,0,0
429,2013,"7",34,9.9,0,2
507,2013,"1",34,8.9,0,1.2
542,2013,"2",48,8,0,1.2
497,2013,"3",59,8.9,1,0
592,2013,"4",61,20,1,0
574,2013,"5",34,14,0,0
534,2013,"6",28.9,12,0,0
445,2013,"7",30,7,0,0
553,2013,"1",30,12,0,0
566,2013,"2",30,8.9,0,0
566,2013,"3",39,7,0,0
526,2013,"4",35.1,8.9,0,0
703,2013,"5",34,19,1,0
403,2013,"6",32,14,1,0
400,2013,"7",36,8.9,0,0
475,2013,"1",45,7,1,9.8
498,2013,"2",45,14,0,9.1
570,2013,"3",44.1,7,0,3.9
631,2013,"4",46,8.9,0,0
604,2013,"5",55,9.9,0,0
449,2013,"6",46.9,11.1,0,0
447,2013,"7",35.1,17.1,0,0
398,2013,"1",35.1,18.1,0,0
477,2013,"2",48.9,11.1,0,0
510,2013,"3",45,14,0,0
498,2013,"4",34,15,0,0
531,2013,"5",37.9,9.9,0,0
521,2013,"6",42.1,14,0,0
426,2013,"7",46.9,13,0,0
490,2013,"1",45,9.9,0,0
537,2013,"2",44.1,9.9,0,0
550,2013,"3",46.9,17.1,0,0
517,2013,"4",51.1,8,0,0
603,2013,"5",45,9.9,0,0
474,2013,"6",39.9,9.9,0,0
502,2013,"7",39.9,9.9,0,0
597,2013,"1",42.1,14,0,0
527,2013,"2",48.9,13,0,0
475,2013,"3",44.1,20,0,0
535,2013,"4",41,21,0,0
851,2013,"5",41,13,1,0
569,2013,"6",55,8.9,0,2
415,2013,"7",51.1,7,0,2
522,2013,"1",53.1,11.1,0,0
547,2013,"2",57,14,0,0
636,2013,"3",53.1,8.9,0,0
557,2013,"4",44.1,15.9,0,0
607,2013,"5",46.9,11.1,0,0
521,2013,"6",46.9,9.9,1,0
426,2013,"7",37.9,8.9,0,0
623,2013,"1",36,13,1,0
559,2013,"2",43,19,0,0
540,2013,"3",45,12,0,2
508,2013,"4",43,8.9,0,0
604,2013,"5",41,12,0,0
488,2013,"6",46,12,0,0
451,2013,"7",46.9,12,0,0
498,2013,"1",41,20,0,0
425,2013,"2",53.1,8.9,0,0
441,2013,"3",51.1,8.9,0,0
549,2013,"4",51.1,8.9,0,0
520,2013,"5",55,12,0,0
513,2013,"6",59,8,0,0
426,2013,"7",54,12,0,0
479,2013,"1",62.1,12,0,0
437,2013,"2",46.9,17.1,0,0
532,2013,"3",46,13,0,0
566,2013,"4",53.1,12,0,0
582,2013,"5",64,9.9,0,0
531,2013,"6",53.1,17.1,0,0
451,2013,"7",54,12,0,0
582,2013,"1",73,8.9,0,0
613,2013,"2",82,11.1,0,0
580,2013,"3",75.9,9.9,0,0
517,2013,"4",60.1,9.9,0,0
649,2013,"5",48.9,19,0,0
555,2013,"6",57.9,12,0,0
472,2013,"7",57,11.1,0,0
603,2013,"1",59,11.1,0,0
564,2013,"2",63,9.9,0,0
535,2013,"3",71.1,8,0,0
553,2013,"4",64,12,0,0
570,2013,"5",71.1,12,0,0
532,2013,"6",66,11.1,0,0
471,2013,"7",55,9.9,0,0
565,2013,"1",55,17.1,0,0
513,2013,"2",53.1,14,0,0
598,2013,"3",69.1,8,0,0
583,2013,"4",66,9.9,0,0
675,2013,"5",66.9,6,0,0
517,2013,"6",70,11.1,0,0
440,2013,"7",69.1,9.9,0,0
598,2013,"1",57,7,0,0
576,2013,"2",68,8.9,0,0
576,2013,"3",69.1,11.1,0,0
585,2013,"4",72,7,0,0
686,2013,"5",66,13,0,0
580,2013,"6",69.1,14,0,0
515,2013,"7",63,9.9,0,0
561,2013,"1",69.1,8.9,0,0
592,2013,"2",73.9,7,0,0
620,2013,"3",66,8.9,1,0
602,2013,"4",68,6,0,0
698,2013,"5",79,7,0,0
523,2013,"6",70,7,1,0
527,2013,"7",70,9.9,0,0
577,2013,"1",59,9.9,0,0
565,2013,"2",61,8,0,0
532,2013,"3",66.9,8,0,0
559,2013,"4",79,9.9,0,0
742,2013,"5",72,7,0,0
506,2013,"6",66.9,8.9,0,0
544,2013,"7",60.1,8,0,0
658,2013,"1",77,6,1,0
697,2013,"2",86,8.9,0,0
570,2013,"3",81,9.9,0,0
735,2013,"4",80.1,12,1,0
668,2013,"5",66.2,9.9,0,0
514,2013,"6",53.1,13,0,0
455,2013,"7",66,13,0,0
420,2013,"1",73,8,0,0
686,2013,"2",66.9,7,1,0
574,2013,"3",82,7,1,0
685,2013,"4",90,8,0,0
736,2013,"5",90,8,0,0
631,2013,"6",90,6,0,0
487,2013,"7",88,12,0,0
707,2013,"1",82,12,1,0
613,2013,"2",75,8,0,0
599,2013,"3",73.9,7,0,0
605,2013,"4",70,8,0,0
791,2013,"5",64,17.1,1,0
571,2013,"6",77,14,0,0
533,2013,"7",80.1,6,0,0
624,2013,"1",75,9.9,1,0
