"num_collisions_adj","max_temp","max_wind","day_group","winter_flag"
303.912,48,18.1,"Fri",0
245.287,46.9,13,"Sat",0
234.5,46.9,19,"Sun",0
304.381,50,20,"Mon-Thu",0
302.505,54,12,"Mon-Thu",0
276.71,48,25.1,"Mon-Thu",0
284.214,44.6,22.9,"Mon-Thu",0
352.219,55.9,32.1,"Fri",0
254.198,45,25.1,"Sat",0
191.352,42.1,21,"Sun",0
242.942,42.1,12,"Mon-Thu",0
166.026,46.4,15,"Mon-Thu",0
249.039,39.2,19,"Mon-Thu",0
246.225,52,34,"Mon-Thu",0
261.233,41,22,"Fri",0
207.298,44.6,21,"Sat",0
192.759,44.6,39,"Sun",0
226.058,37.4,22.9,"Mon-Thu",0
178.689,39.9,8.9,"Mon-Thu",1
225.12,33.1,9.9,"Mon-Thu",1
257.481,32,8,"Mon-Thu",1
236.845,37,13,"Fri",1
182.441,42.1,12,"Sat",1
184.317,46,8.9,"Sun",1
244.349,45,11.1,"Mon-Thu",1
240.597,48,8.9,"Mon-Thu",1
228.403,48.9,9.9,"Mon-Thu",1
260.295,48,11.1,"Mon-Thu",1
309.54,44.1,7,"Fri",1
222.775,46.9,7,"Sat",1
174.937,48.9,8,"Sun",1
254.198,72,8.9,"Mon-Thu",1
242.004,50,11.1,"Mon-Thu",1
271.082,37.9,12,"Mon-Thu",1
230.279,43,8,"Mon-Thu",1
263.109,39.9,9.9,"Fri",1
226.996,51.1,13,"Sat",1
184.317,53.1,15.9,"Sun",1
166.495,39.9,11.1,"Mon-Thu",1
255.136,30.9,14,"Mon-Thu",1
255.605,19.9,11.1,"Mon-Thu",1
259.826,21.9,15,"Mon-Thu",1
316.106,24.1,11.1,"Fri",1
261.702,26.1,9.9,"Sat",1
201.201,34,9.9,"Sun",1
237.783,34,8.9,"Mon-Thu",1
254.198,48,8,"Mon-Thu",1
233.093,59,8.9,"Mon-Thu",1
277.648,61,20,"Mon-Thu",1
269.206,34,14,"Fri",1
250.446,28.9,12,"Sat",1
208.705,30,7,"Sun",1
259.357,30,12,"Mon-Thu",1
265.454,30,8.9,"Mon-Thu",1
265.454,39,7,"Mon-Thu",1
246.694,35.1,8.9,"Mon-Thu",1
329.707,34,19,"Fri",1
189.007,32,14,"Sat",1
187.6,36,8.9,"Sun",1
222.775,45,7,"Mon-Thu",1
233.562,45,14,"Mon-Thu",1
267.33,44.1,7,"Mon-Thu",1
295.939,46,8.9,"Mon-Thu",1
283.276,55,9.9,"Fri",1
210.581,46.9,11.1,"Sat",1
209.643,35.1,17.1,"Sun",1
186.662,35.1,18.1,"Mon-Thu",1
223.713,48.9,11.1,"Mon-Thu",1
239.19,45,14,"Mon-Thu",1
233.562,34,15,"Mon-Thu",1
249.039,37.9,9.9,"Fri",1
244.349,42.1,14,"Sat",1
199.794,46.9,13,"Sun",1
229.81,45,9.9,"Mon-Thu",1
251.853,44.1,9.9,"Mon-Thu",1
257.95,46.9,17.1,"Mon-Thu",1
242.473,51.1,8,"Mon-Thu",1
282.807,45,9.9,"Fri",1
222.306,39.9,9.9,"Sat",1
235.438,39.9,9.9,"Sun",1
279.993,42.1,14,"Mon-Thu",1
247.163,48.9,13,"Mon-Thu",1
222.775,44.1,20,"Mon-Thu",1
250.915,41,21,"Mon-Thu",1
399.119,41,13,"Fri",1
266.861,55,8.9,"Sat",1
194.635,51.1,7,"Sun",1
244.818,53.1,11.1,"Mon-Thu",1
256.543,57,14,"Mon-Thu",1
298.284,53.1,8.9,"Mon-Thu",1
261.233,44.1,15.9,"Mon-Thu",1
284.683,46.9,11.1,"Fri",1
244.349,46.9,9.9,"Sat",1
199.794,37.9,8.9,"Sun",1
292.187,36,13,"Mon-Thu",1
262.171,43,19,"Mon-Thu",1
253.26,45,12,"Mon-Thu",1
238.252,43,8.9,"Mon-Thu",1
283.276,41,12,"Fri",1
228.872,46,12,"Sat",1
211.519,46.9,12,"Sun",1
233.562,41,20,"Mon-Thu",1
199.325,53.1,8.9,"Mon-Thu",1
206.829,51.1,8.9,"Mon-Thu",1
257.481,51.1,8.9,"Mon-Thu",1
243.88,55,12,"Fri",1
240.597,59,8,"Sat",1
199.794,54,12,"Sun",1
224.651,62.1,12,"Mon-Thu",0
