"num_collisions_adj","max_temp","max_wind","weekday","month","year","fog","snow"
241.066,45,14,"2","11",2012,0,0
336.742,48.2,42,"3","11",2012,1,0
257.95,55.9,41,"4","11",2012,0,0
322.672,53.1,30.9,"5","11",2012,0,3.9
208.236,54,14,"6","11",2012,0,0
246.694,63,9.9,"7","11",2012,0,0
256.543,64.9,9.9,"1","11",2012,1,0
303.912,62.6,25.1,"2","11",2012,0,0
293.125,46.9,22,"3","11",2012,0,0
292.187,48.2,21,"4","11",2012,0,0
315.168,48.2,15,"5","11",2012,0,0
254.198,51.1,16.9,"6","11",2012,0,0
209.174,48.9,14,"7","11",2012,0,0
274.365,53.6,16.9,"1","11",2012,0,0
314.699,51.8,14,"2","11",2012,0,0
323.141,53.6,16.9,"3","11",2012,0,0
180.096,54,15.9,"4","11",2012,0,0
225.589,54,8.9,"5","11",2012,1,0
214.802,53.1,20,"6","11",2012,1,0
194.635,41,22.9,"7","11",2012,0,0
264.047,46.9,16.9,"1","11",2012,0,0
273.427,44.6,9.9,"2","11",2012,0,0
240.128,44.6,21,"3","11",2012,0,0
241.535,43,15.9,"4","11",2012,0,0
270.144,46,18.1,"5","11",2012,0,0
225.12,45,14,"6","12",2012,0,0
213.395,53.6,15,"7","12",2012,1,0
291.249,60.1,15,"1","12",2012,0,0
291.249,62.1,9.9,"2","12",2012,1,0
241.066,57.9,19,"3","12",2012,0,0
290.78,45,19,"4","12",2012,0,0
334.866,48.2,12,"5","12",2012,0,0
272.02,55.4,15.9,"6","12",2012,1,0
255.136,50,15.9,"7","12",2012,0,0
290.311,57.9,19,"1","12",2012,1,0
271.082,59,19,"2","12",2012,1,0
257.95,43,12,"3","12",2012,0,0
255.605,46,11.1,"4","12",2012,0,0
303.912,48,18.1,"5","12",2012,0,0
245.287,46.9,13,"6","12",2012,0,0
234.5,46.9,19,"7","12",2012,0,0
304.381,50,20,"1","12",2012,0,0
302.505,54,12,"2","12",2012,0,0
276.71,48,25.1,"3","12",2012,0,0
284.214,44.6,22.9,"4","12",2012,0,0
352.219,55.9,32.1,"5","12",2012,0,0
254.198,45,25.1,"6","12",2012,0,0
191.352,42.1,21,"7","12",2012,0,0
242.942,42.1,12,"1","12",2012,0,0
166.026,46.4,15,"2","12",2012,0,0
249.039,39.2,19,"3","12",2012,1,0
246.225,52,34,"4","12",2012,1,0
261.233,41,22,"5","12",2012,0,0
207.298,44.6,21,"6","12",2012,1,0
