"num_collisions","max_temp","max_wind","day_group","winter_flag","weekday"
314,57.9,8.9,"Mon-Thu",0,"1"
262,59,7,"Mon-Thu",0,"2"
309,57,7,"Mon-Thu",0,"3"
334,57,13,"Mon-Thu",0,"4"
394,55.9,13,"Fri",0,"5"
334,46.9,6,"Sat",0,"6"
308,55,11.1,"Sun",0,"7"
327,55,18.1,"Mon-Thu",0,"1"
285,53.1,12,"Mon-Thu",0,"2"
302,62.1,7,"Mon-Thu",0,"3"
357,66.9,8,"Mon-Thu",0,"4"
365,70,8,"Fri",0,"5"
329,73.9,6,"Sat",0,"6"
326,75,6,"Sun",0,"7"
318,75,4.1,"Mon-Thu",0,"1"
343,75,8,"Mon-Thu",0,"2"
300,73.9,7,"Mon-Thu",0,"3"
327,72,8.9,"Mon-Thu",0,"4"
391,50,9.9,"Fri",0,"5"
298,52,8,"Sat",0,"6"
251,62.1,12,"Sun",0,"7"
305,64,20,"Mon-Thu",0,"1"
261,55,12,"Mon-Thu",0,"2"
295,50,15,"Mon-Thu",0,"3"
279,48,8,"Mon-Thu",0,"4"
358,63,11.1,"Fri",0,"5"
314,64,9.9,"Sat",0,"6"
222,64,8.9,"Sun",0,"7"
298,60.8,17.1,"Mon-Thu",0,"1"
324,60.1,11.1,"Mon-Thu",0,"2"
276,55.9,7,"Mon-Thu",0,"3"
203,64.9,8.9,"Mon-Thu",0,"4"
279,64.9,7,"Fri",0,"5"
239,63,8,"Sat",0,"6"
248,55.9,6,"Sun",0,"7"
301,63,13,"Mon-Thu",0,"1"
269,63,17.1,"Mon-Thu",0,"2"
235,43,14,"Mon-Thu",0,"3"
252,50,11.1,"Mon-Thu",0,"4"
372,52,8.9,"Fri",0,"5"
278,52,13,"Sat",0,"6"
241,46.9,15.9,"Sun",0,"7"
281,39.9,8.9,"Mon-Thu",0,"1"
282,39.9,11.1,"Mon-Thu",0,"2"
280,37.9,13,"Mon-Thu",0,"3"
311,48.9,12,"Mon-Thu",0,"4"
348,57,7,"Fri",0,"5"
285,57,8.9,"Sat",0,"6"
265,62.1,9.9,"Sun",0,"7"
250,62.1,8,"Mon-Thu",0,"1"
315,46.9,11.1,"Mon-Thu",0,"2"
341,39,19,"Mon-Thu",0,"3"
233,33.1,18.1,"Mon-Thu",0,"4"
278,33.1,8.9,"Fri",0,"5"
251,32,8,"Sat",0,"6"
194,39.9,8.9,"Sun",0,"7"
268,46,7,"Mon-Thu",0,"1"
320,46,11.1,"Mon-Thu",0,"2"
360,46,8.9,"Mon-Thu",0,"3"
315,57.9,12,"Mon-Thu",0,"4"
168,61,18.1,"Fri",0,"5"
226,35.1,15,"Sat",0,"6"
184,37,8.9,"Sun",0,"7"
217,50,6,"Mon-Thu",0,"1"
244,50,15,"Mon-Thu",0,"2"
238,43,11.1,"Mon-Thu",0,"3"
278,48,11.1,"Mon-Thu",0,"4"
257,48,8.9,"Fri",1,"5"
220,51.1,9.9,"Sat",1,"6"
186,51.1,12,"Sun",1,"7"
242,43,11.1,"Mon-Thu",1,"1"
228,43,7,"Mon-Thu",1,"2"
220,42.1,15,"Mon-Thu",1,"3"
285,41,11.1,"Mon-Thu",1,"4"
272,41,8.9,"Fri",1,"5"
244,37,13,"Sat",1,"6"
177,41,8.9,"Sun",1,"7"
238,41,5.1,"Mon-Thu",1,"1"
279,44.1,6,"Mon-Thu",1,"2"
