"injury_rate","av_temp","snow","av_wind","day_group","winter_flag","freeze_lvl"
0.429394812680115,76.2,0,2.9,"Mon-Thu",0,"above"
0.54985754985755,73.4,0,4,"Fri",0,"above"
0.641447368421053,66.6,0,5.1,"Sat",0,"above"
0.453061224489796,67.7,0,2.5,"Sun",0,"above"
0.474048442906574,71.8,0,3.5,"Mon-Thu",0,"above"
0.445182724252492,60.3,0,3.9,"Mon-Thu",0,"above"
0.42671009771987,63,0,2.2,"Mon-Thu",0,"above"
0.444099378881988,68.5,0,2.3,"Mon-Thu",0,"above"
0.513196480938416,66.6,0,5.4,"Fri",0,"above"
0.433333333333333,57.2,0,6.9,"Sat",0,"above"
0.687272727272727,56.1,0,5.7,"Sun",0,"above"
0.429032258064516,56.8,0,4,"Mon-Thu",0,"above"
0.390879478827362,59.4,0,3.1,"Mon-Thu",0,"above"
0.421348314606742,67.3,0,5,"Mon-Thu",0,"above"
0.521885521885522,69.2,0,2.2,"Mon-Thu",0,"above"
0.413793103448276,69.1,0,1.5,"Fri",0,"above"
0.448484848484848,69.1,0,2.7,"Sat",0,"above"
0.561904761904762,71.9,0,2.4,"Sun",0,"above"
0.42,72.2,0,2.4,"Mon-Thu",0,"above"
0.561514195583596,70.5,0,2.7,"Mon-Thu",0,"above"
0.394812680115274,66.6,0,5.6,"Mon-Thu",0,"above"
0.424698795180723,64.3,0,4,"Mon-Thu",0,"above"
0.391428571428571,60.4,0,3.1,"Fri",0,"above"
0.520123839009288,58.7,0,4.1,"Sat",0,"above"
0.479553903345725,58.2,0,3.4,"Sun",0,"above"
0.423841059602649,60.5,0,2.4,"Mon-Thu",0,"above"
0.458461538461538,62.2,0,2.2,"Mon-Thu",0,"above"
0.425324675324675,65.3,0,6.9,"Mon-Thu",0,"above"
0.451807228915663,59.8,0,7.4,"Mon-Thu",0,"above"
0.396969696969697,58.6,0,2.3,"Fri",0,"above"
0.505415162454874,64.1,0,4.7,"Sat",0,"above"
0.512096774193548,64.8,0,5.1,"Sun",0,"above"
0.526315789473684,53.6,0,7.2,"Mon-Thu",0,"above"
0.411764705882353,55.3,0,6.7,"Mon-Thu",0,"above"
0.417417417417417,58.3,0,3.5,"Mon-Thu",0,"above"
0.453376205787781,63.3,0,4.3,"Mon-Thu",0,"above"
0.394736842105263,59,0,3,"Fri",0,"above"
0.498507462686567,50.6,0,4,"Sat",0,"above"
0.518032786885246,53.3,0,2.5,"Sun",0,"above"
0.289855072463768,57.3,0,2.3,"Mon-Thu",0,"above"
0.428571428571429,62.6,0,2.2,"Mon-Thu",0,"above"
0.476331360946746,63.4,0,1.1,"Mon-Thu",0,"above"
0.446969696969697,65.8,0,0.9,"Mon-Thu",0,"above"
0.44213649851632,64.8,0,0.9,"Fri",0,"above"
0.501661129568106,64.2,0,2.9,"Sat",0,"above"
0.480427046263345,49.5,0,5.6,"Sun",0,"above"
0.515923566878981,53.4,0,3.9,"Mon-Thu",0,"above"
0.412213740458015,56.6,0,2.6,"Mon-Thu",0,"above"
